id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
68072182,,22900.0,22900.0,22900.0, 60 months,16.59,564.09,D,D2,Director Accounting Policy,3 years,MORTGAGE,150000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68072182,,credit_card,Credit card refinancing,024xx,MA,15.12,0.0,Sep-2007,700.0,704.0,0.0,,,8.0,0.0,33569.0,96.5,11.0,w,0.0,0.0,30947.482902688706,30947.48,22900.0,8047.48,0.0,0.0,0.0,Jul-2018,14504.45,,Mar-2019,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,56778.0,0.0,1.0,0.0,1.0,16.0,23209.0,66.0,0.0,0.0,24855.0,81.0,34800.0,1.0,0.0,4.0,1.0,9463.0,827.0,97.5,0.0,0.0,95.0,99.0,42.0,16.0,0.0,42.0,,4.0,,0.0,3.0,4.0,6.0,6.0,3.0,7.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,69800.0,56778.0,33600.0,35000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67838439,,35000.0,35000.0,35000.0, 36 months,12.59,1172.39,C,C2,Clinical Manager,10+ years,MORTGAGE,98000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67838439,,debt_consolidation,Debt consolidation,233xx,VA,10.57,0.0,Mar-1987,735.0,739.0,0.0,25.0,,27.0,0.0,32327.0,40.1,48.0,w,0.0,0.0,42311.901305793705,42311.9,35000.0,7253.28,58.62,0.0,0.0,Nov-2018,4789.29,,Nov-2018,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,375437.0,1.0,11.0,1.0,1.0,2.0,70181.0,110.0,2.0,3.0,10854.0,71.0,80600.0,0.0,4.0,1.0,4.0,15643.0,30970.0,45.3,0.0,0.0,120.0,345.0,12.0,2.0,3.0,14.0,,12.0,,0.0,5.0,7.0,7.0,10.0,19.0,15.0,26.0,8.0,27.0,0.0,0.0,0.0,3.0,97.9,28.6,0.0,0.0,444838.0,102508.0,56600.0,63930.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67988290,,30000.0,30000.0,30000.0, 36 months,13.67,1020.53,C,C4,Informatica ,1 year,MORTGAGE,110000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67988290,,credit_card,Credit card refinancing,276xx,NC,10.95,0.0,Apr-1999,755.0,759.0,0.0,,,6.0,0.0,8781.0,53.9,11.0,w,0.0,0.0,36731.0934806864,36731.09,30000.0,6731.09,0.0,0.0,0.0,Jan-2019,14.79,,Mar-2019,624.0,620.0,0.0,,1.0,Individual,,,,0.0,0.0,229612.0,1.0,2.0,2.0,2.0,4.0,42788.0,95.0,0.0,1.0,8781.0,70.0,16300.0,0.0,1.0,0.0,3.0,38269.0,219.0,97.6,0.0,0.0,12.0,200.0,13.0,4.0,1.0,13.0,,,,0.0,1.0,1.0,1.0,4.0,2.0,3.0,8.0,1.0,6.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,264678.0,51569.0,9000.0,47620.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67735877,,6000.0,6000.0,6000.0, 36 months,11.99,199.26,C,C1,Head of Human Resources ,10+ years,OWN,130000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67735877,,credit_card,Credit card refinancing,086xx,NJ,4.86,1.0,Mar-1993,660.0,664.0,1.0,13.0,,10.0,0.0,5568.0,38.1,14.0,w,0.0,0.0,7169.239528523,7169.24,6000.0,1169.24,0.0,0.0,0.0,Dec-2018,199.14,,Dec-2018,639.0,635.0,1.0,63.0,1.0,Individual,,,,0.0,271.0,227311.0,0.0,2.0,2.0,2.0,11.0,34611.0,94.0,0.0,2.0,4349.0,78.0,14600.0,2.0,2.0,5.0,4.0,25257.0,4151.0,51.2,0.0,0.0,124.0,273.0,22.0,11.0,2.0,22.0,63.0,3.0,13.0,1.0,1.0,2.0,2.0,3.0,4.0,7.0,8.0,2.0,10.0,0.0,0.0,0.0,2.0,76.9,0.0,0.0,0.0,245839.0,40179.0,8500.0,36826.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67735862,,16450.0,16450.0,16300.0, 60 months,24.99,482.74,F,F4,driver / video photo ,10+ years,MORTGAGE,60000.0,Source Verified,Dec-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67735862,,credit_card,Credit card refinancing,922xx,CA,28.34,0.0,May-2011,665.0,669.0,0.0,,,8.0,0.0,4741.0,93.0,12.0,f,0.0,0.0,4986.78,4941.31,1371.86,2961.37,0.0,653.55,117.6390000044,Sep-2016,482.74,,Jul-2018,564.0,560.0,0.0,,1.0,Individual,,,,0.0,0.0,52838.0,1.0,4.0,1.0,3.0,5.0,48097.0,81.0,0.0,3.0,2661.0,82.0,5100.0,0.0,0.0,3.0,6.0,7548.0,206.0,95.7,0.0,0.0,54.0,55.0,17.0,5.0,0.0,18.0,,5.0,,0.0,2.0,3.0,2.0,3.0,6.0,4.0,6.0,3.0,8.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,64735.0,52838.0,4800.0,59635.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67665436,,5650.0,5650.0,5650.0, 36 months,14.48,194.43,C,C5,OWNER,5 years,MORTGAGE,52000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67665436,,home_improvement,Home improvement,852xx,AZ,9.05,0.0,Mar-2000,665.0,669.0,4.0,25.0,38.0,11.0,1.0,3515.0,23.3,31.0,w,0.0,0.0,6987.8253918862,6987.83,5650.0,1337.83,0.0,0.0,0.0,Dec-2018,194.14,,Mar-2019,634.0,630.0,1.0,42.0,1.0,Individual,,,,0.0,2536.0,152456.0,1.0,1.0,1.0,1.0,9.0,11647.0,92.0,2.0,7.0,1308.0,55.0,15100.0,0.0,0.0,6.0,8.0,13860.0,4446.0,37.4,0.0,0.0,151.0,189.0,5.0,5.0,4.0,12.0,54.0,0.0,54.0,5.0,3.0,7.0,4.0,11.0,8.0,8.0,19.0,7.0,11.0,0.0,0.0,0.0,3.0,83.9,0.0,0.0,0.0,166936.0,15162.0,7100.0,12636.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67297222,,20000.0,20000.0,20000.0, 60 months,11.99,444.79,C,C1,mailhandler,10+ years,OWN,57000.0,Not Verified,Dec-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67297222,,debt_consolidation,Debt consolidation,170xx,PA,24.8,0.0,Apr-1992,700.0,704.0,0.0,,,12.0,0.0,23489.0,76.3,20.0,w,8393.53,8393.53,17345.1,17345.1,11606.47,5738.63,0.0,0.0,0.0,Mar-2019,444.79,Apr-2019,Mar-2019,624.0,620.0,0.0,,1.0,Individual,,,,0.0,0.0,49415.0,1.0,2.0,0.0,0.0,32.0,19846.0,52.0,1.0,2.0,3564.0,63.0,30800.0,0.0,4.0,0.0,2.0,4118.0,493.0,93.1,0.0,0.0,172.0,284.0,3.0,3.0,1.0,47.0,,13.0,,0.0,2.0,9.0,2.0,2.0,8.0,9.0,11.0,9.0,12.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,76656.0,43335.0,7100.0,38291.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
66455124,,11200.0,11200.0,11200.0, 60 months,13.67,258.7,C,C4,Soil Conservation,5 years,MORTGAGE,40000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66455124,,debt_consolidation,Debt consolidation,675xx,KS,37.59,0.0,Jan-2007,715.0,719.0,0.0,,,10.0,0.0,7435.0,33.8,23.0,w,0.0,0.0,14805.050382431698,14805.05,11200.0,3605.05,0.0,0.0,0.0,Jan-2019,5500.36,,Mar-2019,804.0,800.0,0.0,,1.0,Individual,,,,0.0,0.0,90596.0,,,,,,,,,,,,22000.0,,,,7.0,10066.0,11750.0,19.0,0.0,0.0,107.0,63.0,21.0,3.0,0.0,21.0,,17.0,,0.0,1.0,3.0,4.0,5.0,15.0,7.0,8.0,3.0,10.0,0.0,0.0,0.0,1.0,100.0,25.0,0.0,0.0,109786.0,90596.0,14500.0,87786.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67466476,,3975.0,3975.0,3975.0, 36 months,16.55,140.84,D,D2,,,MORTGAGE,70000.0,Verified,Dec-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67466476,,debt_consolidation,Debt consolidation,890xx,NV,22.7,0.0,Aug-1980,680.0,684.0,1.0,62.0,,12.0,0.0,20391.0,79.0,24.0,w,0.0,0.0,3371.45,3371.45,2193.37,925.21,0.0,252.87,22.7583,Nov-2017,140.84,,Mar-2019,599.0,595.0,0.0,,1.0,Individual,,,,0.0,0.0,283713.0,2.0,2.0,2.0,2.0,7.0,34399.0,91.0,2.0,3.0,6953.0,86.0,25800.0,0.0,0.0,1.0,5.0,25792.0,4506.0,80.7,0.0,0.0,142.0,424.0,3.0,3.0,4.0,3.0,,6.0,,0.0,5.0,8.0,5.0,6.0,8.0,9.0,12.0,8.0,12.0,0.0,0.0,0.0,4.0,95.7,60.0,0.0,0.0,303449.0,54790.0,23300.0,37824.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67375701,,3000.0,3000.0,3000.0, 36 months,13.18,101.35,C,C3,PA V,5 years,OWN,42000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67375701,,debt_consolidation,Debt consolidation,303xx,GA,20.83,2.0,Mar-2004,660.0,664.0,0.0,11.0,,14.0,0.0,1137.0,94.7,21.0,w,0.0,0.0,3647.7411087799,3647.74,3000.0,647.74,0.0,0.0,0.0,Dec-2018,101.6,,Jan-2019,594.0,590.0,0.0,75.0,1.0,Individual,,,,0.0,0.0,81551.0,1.0,12.0,4.0,6.0,6.0,80414.0,97.0,0.0,0.0,573.0,97.0,1200.0,2.0,0.0,2.0,6.0,5825.0,63.0,94.7,0.0,0.0,141.0,111.0,40.0,6.0,0.0,40.0,19.0,11.0,19.0,1.0,2.0,2.0,2.0,4.0,17.0,2.0,4.0,2.0,14.0,0.0,0.0,0.0,4.0,94.7,100.0,0.0,0.0,84159.0,81551.0,1200.0,82959.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
